date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-05-03,,,0.0,17231.25,17231.25,,0.48747221442907396,65.0,1959.25,0.006035545883206384,104.0,170.0,77.96323529411765,13253.75,3049.56,,55.0,72.31818181818181,3977.5,37.5,225.0,
2023-05-04,,,0.0,10788.01,10788.01,,-0.22220547945205477,64.0,1827.0,0.018353709349546395,198.0,104.0,66.9351923076923,6961.26,3058.0,,68.0,56.275735294117645,3826.75,0.0,172.0,
2023-05-05,,,0.0,18723.62,18723.62,,-0.1664220285596626,99.0,2840.5,0.015541866369857967,291.0,183.0,71.11617486338798,13014.26,3588.26,,121.0,47.184793388429746,5709.36,14.0,304.0,
2023-05-06,,,0.0,24528.510000000002,24528.510000000002,,0.09696939882156962,89.0,3931.5,0.018590611496580915,456.0,215.0,79.63953488372093,17122.5,3995.89,,140.0,52.90007142857143,7406.01,0.0,355.0,
2023-05-07,,,0.0,14712.15,14712.15,,-0.6058735282692849,76.0,2294.5,0.01522551088725985,224.0,88.0,80.875,7117.0,3104.86,,151.0,50.29900662251655,7595.15,170.0,239.0,
2023-05-08,,,0.0,7563.75,7563.75,,-0.4493083363669458,62.0,1915.0,0.00436291522062469,33.0,62.0,77.26612903225806,4790.5,2744.92,,81.0,34.23765432098765,2773.25,27.0,143.0,
2023-05-09,,,0.0,11518.0,11518.0,,0.02039369939226428,51.0,1944.5,0.015540892516061817,179.0,96.0,79.14322916666667,7597.75,2492.81,,71.0,55.21478873239437,3920.25,0.0,167.0,
2023-05-10,,,0.0,8751.060000000001,8751.060000000001,,-0.1296322818575673,63.0,2133.5,0.0034281561319428728,30.0,69.0,88.17115942028985,6083.81,2332.72,,46.0,57.983695652173914,2667.25,0.0,115.0,
2023-05-11,,,0.0,11722.83,11722.83,,0.18968210072307495,85.0,2285.5,0.007421416159749821,87.0,113.0,78.9608849557522,8922.58,3264.2,,54.0,51.85648148148148,2800.25,55.0,167.0,
2023-05-12,,,2800.0,28863.1,31663.1,,0.5099356803004897,115.0,4336.35,0.011164774400532169,322.25,202.0,121.84777227722772,24613.25,3823.15,,85.0,49.99823529411765,4249.85,49.0,287.0,
2023-05-13,,,762.0,25472.46,26234.46,,0.132336807216383,111.0,3793.5,0.007969391256282276,203.0,229.0,82.66707423580786,18930.76,4164.95,,123.0,53.18455284552845,6541.7,126.0,352.0,
2023-05-14,,,0.0,34039.259999999995,34039.259999999995,,0.6832644567818388,93.0,3022.5,0.010282244678644602,350.0,250.0,66.86904,16717.26,4272.27,,366.0,47.32786885245902,17322.0,29.0,616.0,
2023-05-15,,,4454.91,7353.5,11808.41,,-0.2907161803713528,54.0,1625.0,0.010199224858910724,75.0,88.0,51.10227272727273,4497.0,2095.0,,77.0,37.0974025974026,2856.5,0.0,114.0,
2023-05-16,,,0.0,7666.0,7666.0,,-0.308318137565832,37.0,1294.5,0.019306026611009653,148.0,92.0,54.516304347826086,5015.5,2542.54,,73.0,36.30821917808219,2650.5,58.0,165.0,
2023-05-17,,,0.0,11729.5,11729.5,,0.20608724711447007,55.0,2068.5,0.01662474956306748,195.0,136.0,65.04779411764706,8846.5,2400.18,,73.0,39.49315068493151,2883.0,142.0,209.0,
2023-05-18,,,0.0,7280.5,7280.5,,-0.24591678517458213,75.0,2121.5,0.01304855435753039,95.0,98.0,46.54081632653061,4561.0,2711.32,,82.0,33.16463414634146,2719.5,0.0,175.0,
2023-05-19,,,0.0,12380.02,12380.02,,-0.21792453426154634,85.0,3079.02,0.011793195810669127,146.0,164.0,51.478658536585364,8442.5,2914.84,,107.0,36.799252336448596,3937.52,243.0,271.0,
2023-05-20,,,0.0,17544.5,17544.5,,-0.2847008459891958,93.0,2973.0,0.011456581834763032,201.0,231.0,58.72186147186147,13564.75,3622.24,,110.0,36.179545454545455,3979.75,57.0,332.0,
2023-05-21,,,0.0,14273.25,14273.25,,-0.19340802170012575,93.0,3114.0,0.011349902790184435,162.0,98.0,71.90561224489795,7046.75,3048.3,,190.0,38.03421052631579,7226.5,0.0,288.0,
2023-05-22,,,0.0,10805.58,10805.58,,0.2691916018205843,54.0,2152.08,0.00916193300128267,99.0,125.0,66.26464,8283.08,2426.73,,65.0,38.80769230769231,2522.5,0.0,190.0,
2023-05-23,,,4407.5,10551.95,14959.45,,-0.3596538764730548,50.0,1771.25,0.01468922805737328,155.0,98.0,63.320918367346934,6205.45,2653.58,,129.0,33.6937984496124,4346.5,18.0,227.0,
2023-05-24,,,4485.52,7632.25,12117.77,,-0.1694371140190984,57.0,1821.5,0.0144125257951456,110.0,83.0,59.00903614457831,4897.75,2664.02,,71.0,38.514084507042256,2734.5,0.0,154.0,
2023-05-25,,,0.0,11350.03,11350.03,,-0.05501071956372411,58.0,2342.75,0.019735630654720736,224.0,126.0,60.52587301587302,7626.26,2928.75,,93.0,40.0405376344086,3723.77,47.0,219.0,
2023-05-26,,,0.0,12060.95,12060.95,,-0.4242158781687115,89.0,2638.2,0.01575331959754414,190.0,176.0,49.79971590909091,8764.75,3552.64,,85.0,38.77882352941176,3296.2,0.0,261.0,
2023-05-27,,,0.0,26417.0,26417.0,,-0.08106791894947386,100.0,3282.75,0.005451035318166333,144.0,343.0,58.10932944606414,19931.5,3587.3,,168.0,38.604166666666664,6485.5,0.0,511.0,
2023-05-28,,,0.0,24605.760000000002,24605.760000000002,,0.007705917043444217,113.0,3154.26,0.017231737609405277,424.0,269.0,52.20817843866171,14044.0,3419.22,,260.0,40.62215384615385,10561.76,182.0,529.0,
2023-05-29,,,0.0,15938.0,15938.0,,0.1486639880362516,105.0,2802.5,0.007152716777512862,114.0,170.0,45.60294117647059,7752.5,2825.82,,224.0,36.542410714285715,8185.5,74.0,394.0,
2023-05-30,,,0.0,6689.63,6689.63,,-0.11306465705258661,49.0,1401.76,0.018386667125087637,123.0,101.0,49.53089108910891,5002.62,2719.0,,49.0,34.42877551020408,1687.01,25.0,150.0,
2023-05-31,,,0.0,6473.99,6473.99,,-0.21655593876686638,60.0,2083.85,0.01266606837514423,82.0,89.0,49.95943820224719,4446.39,2519.3,,55.0,36.86545454545455,2027.6,48.0,144.0,
2023-06-01,,,0.0,7452.01,7452.01,,-0.23995920344730867,63.0,2229.5,0.0072463670875374565,54.0,84.0,51.62809523809524,4336.76,2706.24,,85.0,36.65,3115.25,15.0,169.0,
2023-06-02,,,0.0,10960.15,10960.15,,0.7499002123481231,69.0,1895.0,0.011861151535334827,130.0,157.0,53.02866242038217,8325.5,3009.97,,82.0,32.12987804878049,2634.65,30.0,239.0,
2023-06-03,,,2170.0,17299.510000000002,19469.510000000002,,-0.031246815063698613,102.0,4266.0,0.0052024594916272185,90.0,221.0,58.64371040723982,12960.26,2730.33,,88.0,49.30965909090909,4339.25,133.0,309.0,
2023-06-04,,,0.0,12576.0,12576.0,,0.16538862504343796,75.0,2171.0,0.014392493638676845,181.0,98.0,55.160714285714285,5405.75,2559.63,,171.0,41.9312865497076,7170.25,19.0,269.0,
2023-06-05,,,1693.79,4692.0,6385.79,,-0.4781883393110351,53.0,1454.5,0.020034100596760442,94.0,66.0,45.36363636363637,2994.0,1764.87,,56.0,30.321428571428573,1698.0,0.0,122.0,
2023-06-06,,,0.0,5592.17,5592.17,,-0.02825144445892522,47.0,1166.5,0.01582569914720046,88.5,75.0,46.126666666666665,3459.5,2020.27,,64.0,33.32296875,2132.67,0.0,139.0,
2023-06-07,,,0.0,5987.95,5987.95,,-0.16567623564687806,44.0,1840.7,0.012525154685660369,75.0,66.0,57.47272727272727,3793.2,2232.97,,53.0,41.410377358490564,2194.75,83.0,119.0,
2023-06-08,,,0.0,7271.05,7271.05,,-0.3072082810479749,65.0,2221.0,0.046692018346731215,339.5,101.0,51.90594059405941,5242.5,2278.74,,67.0,30.27686567164179,2028.55,0.0,168.0,
2023-06-09,,,0.0,12781.26,12781.26,,0.0660155549531892,70.0,2510.01,0.0032078214510932413,41.0,161.0,63.36496894409938,10201.76,2189.68,,75.0,34.39333333333333,2579.5,67.0,277.0,
2023-06-10,,,0.0,11357.49,11357.49,,-0.23798299977657772,84.0,2663.75,0.01628881029171058,185.0,122.0,53.98352459016393,6585.99,2569.28,,150.0,31.81,4771.5,0.0,272.0,
2023-06-11,,,0.0,13119.32,13119.32,,-0.12227855452123572,81.0,2932.0,0.015930703725497968,209.0,108.0,59.300925925925924,6404.5,2627.96,,182.0,36.894615384615385,6714.82,0.0,290.0,
2023-06-12,,,115.0,7050.75,7165.75,,0.19844473717758043,38.0,1666.5,0.011913626209977662,84.0,76.0,56.421052631578945,4288.0,1325.25,,73.0,36.27054794520548,2647.75,25.0,149.0,
2023-06-13,,,0.0,13372.0,13372.0,,0.5407304989054038,52.0,1423.5,0.0071791803769069695,96.0,101.0,101.04455445544555,10205.5,2469.47,,67.0,47.26119402985075,3166.5,0.0,168.0,
2023-06-14,,,0.0,7420.7,7420.7,,-0.18029581681008294,58.0,2188.5,0.013745333998140338,102.0,86.0,52.93255813953488,4552.2,2367.53,,79.0,36.31012658227848,2868.5,70.0,165.0,
2023-06-15,,,0.0,9430.0,9430.0,,-0.05615148018068245,63.0,1545.25,0.01664899257688229,157.0,146.0,48.21061643835616,7038.75,2410.97,,77.0,31.055194805194805,2391.25,124.0,223.0,
2023-06-16,,,2843.99,10412.16,13256.15,,0.03657731650862389,68.0,2876.75,0.012615057778597331,131.35,126.0,64.93579365079366,8181.91,2527.57,,65.0,34.31153846153846,2230.25,142.65,191.0,
2023-06-17,,,4832.5,11757.119999999999,16589.62,,-0.11981134194272888,82.0,2198.62,0.01632032334449253,191.88,145.0,51.14565517241379,7416.12,2629.35,,108.0,40.19444444444444,4341.0,89.0,253.0,
2023-06-18,,,0.0,14647.01,14647.01,,-0.17264891123224219,65.0,2303.0,0.007919705113876484,116.0,97.0,58.1959793814433,5645.01,2321.35,,222.0,40.549549549549546,9002.0,0.0,319.0,
2023-06-19,,,0.0,6762.25,6762.25,,-0.20133106567929226,48.0,1978.75,0.010499463935820179,71.0,73.0,41.27054794520548,3012.75,1620.96,,84.0,44.63690476190476,3749.5,20.5,157.0,
2023-06-20,,,0.0,5378.0,5378.0,,-0.3719674189122121,55.0,1967.0,0.007065823726292302,38.0,77.0,44.06818181818182,3393.25,2114.72,,53.0,37.448113207547166,1984.75,0.0,130.0,
2023-06-21,,,2340.0,5951.15,8291.15,,-0.7292040455923166,54.0,2041.25,0.00756156373137965,45.0,84.0,40.330357142857146,3387.75,2291.53,,63.0,40.68888888888889,2563.4,14.0,147.0,
2023-06-22,,,807.36,8258.76,9066.12,,0.2954917647058824,54.0,1776.01,0.019736619056613825,163.0,103.0,54.79621359223301,5644.01,2438.68,,71.0,36.82746478873239,2614.75,0.0,174.0,
2023-06-23,,,0.0,9535.5,9535.5,,-0.2577644586284736,71.0,2596.25,0.016255046929893557,155.0,133.0,55.75375939849624,7415.25,2472.35,,67.0,31.645522388059703,2120.25,0.0,200.0,
2023-06-24,,,0.0,18699.059999999998,18699.059999999998,,0.2146774187262004,101.0,3334.0,0.015893847070387497,297.2,270.0,51.62611111111111,13939.05,3181.21,,135.0,35.25933333333334,4760.01,57.0,405.0,
2023-06-25,,,0.0,11941.01,11941.01,,-0.032450674553336285,87.0,3000.01,0.00879322603364372,105.0,74.0,40.175810810810816,2973.01,2639.78,,204.0,43.96078431372549,8968.0,0.0,278.0,
2023-06-26,,,0.0,5210.5,5210.5,,-0.43284914255236934,53.0,1445.0,0.017656654831590058,92.0,99.0,38.0959595959596,3771.5,1931.69,,43.0,33.46511627906977,1439.0,0.0,142.0,
2023-06-27,,,0.0,5215.76,5215.76,,-0.39158846344521886,50.0,1409.51,0.0074773379143212105,39.0,59.0,48.245932203389835,2846.51,2222.13,,62.0,38.21370967741935,2369.25,116.0,121.0,
2023-06-28,,,0.0,5898.0,5898.0,,-0.2071514988573733,56.0,1975.0,0.015089860969820278,89.0,63.0,48.52777777777778,3057.25,1937.42,,83.0,34.225903614457835,2840.75,55.0,146.0,
2023-06-29,,,12125.0,7810.75,19935.75,,0.1777278518708393,46.0,1424.0,0.017027814230387607,133.0,87.0,48.12068965517241,4186.5,2248.36,,91.0,39.82692307692308,3624.25,0.0,178.0,
2023-06-30,,,2425.0,12682.75,15107.75,,0.0258717614799117,65.0,2496.5,0.01025014291064635,130.0,141.0,63.37056737588652,8935.25,2821.24,,97.0,38.634020618556704,3747.5,73.0,238.0,
2023-07-01,,,0.0,15652.05,15652.05,,-0.06542371363317465,85.0,3088.25,0.018240422181120045,285.5,195.0,53.855384615384615,10501.8,2705.73,,125.0,41.202,5150.25,0.0,320.0,
2023-07-02,,,0.0,16693.309999999998,16693.309999999998,,0.010490920096852159,95.0,3263.01,0.01401759147826285,234.0,167.0,52.41802395209581,8753.81,3007.71,,215.0,36.92790697674418,7939.5,19.0,382.0,
2023-07-03,,,0.0,12722.02,12722.02,,-0.2646252467478417,84.0,2611.5,0.010768730123046497,137.0,157.0,52.07656050955414,8176.02,2439.19,,141.0,32.241134751773046,4546.0,0.0,298.0,
2023-07-04,,,0.0,13400.5,13400.5,,1.2548376240955745,78.0,2937.25,0.018059027648222082,242.0,112.0,51.950892857142854,5818.5,3264.22,,198.0,38.292929292929294,7582.0,0.0,310.0,
2023-07-05,,,0.0,6228.5,6228.5,,-0.05271402716308502,81.0,1847.0,0.012683631693024002,79.0,55.0,72.44090909090909,3984.25,2000.86,,56.0,40.075892857142854,2244.25,7.0,111.0,
2023-07-06,,,0.0,5620.49,5620.49,,-0.4160984858322728,42.0,1258.0,0.016012838738259476,90.0,68.0,52.389558823529406,3562.49,2431.99,,56.0,36.75,2058.0,151.99,124.0,
2023-07-07,,,0.0,7619.5,7619.5,,-0.46545467045783795,49.0,1470.0,0.008924470109587244,68.0,116.0,48.98706896551724,5682.5,2774.02,,58.0,33.39655172413793,1937.0,0.0,174.0,
2023-07-08,,,19616.73,9615.61,29232.34,,-0.44581810846637077,72.0,2019.01,0.021631492957805067,208.0,117.0,55.086410256410254,6445.11,2547.94,,110.0,28.822727272727274,3170.5,30.0,227.0,
2023-07-09,,,0.0,9487.25,9487.25,,-0.06319675805696706,72.0,2529.0,0.016021502542886507,152.0,84.0,54.36309523809524,4566.5,2327.78,,137.0,35.917883211678834,4920.75,0.0,221.0,
2023-07-10,,,0.0,6746.25,6746.25,,0.029411764705882353,42.0,1235.75,0.0044469149527515284,30.0,83.0,48.19277108433735,4000.0,1869.84,,70.0,39.232142857142854,2746.25,0.0,153.0,
2023-07-11,,,0.0,5823.25,5823.25,,-0.29700779378814807,50.0,1790.0,0.005151762332031082,30.0,67.0,51.485074626865675,3449.5,1862.4,,60.0,39.5625,2373.75,0.0,127.0,
2023-07-12,,,0.0,6336.75,6336.75,,-0.06295748613678373,54.0,1561.0,0.019726200339290647,125.0,79.0,43.68037974683544,3450.75,1921.41,,85.0,33.95294117647059,2886.0,0.0,164.0,
2023-07-13,,,0.0,6456.74,6456.74,,-0.6442469489517618,62.0,1944.49,0.013319415060851141,86.0,90.0,42.96944444444444,3867.25,2425.42,,70.0,36.992714285714285,2589.49,20.0,160.0,
2023-07-14,,,0.0,14848.58,14848.58,,0.12469219495014142,74.0,2627.5,0.006397918184769183,95.0,131.0,90.10748091603054,11804.08,2760.18,,76.0,40.05921052631579,3044.5,72.0,174.0,
2023-07-15,,,2807.5,10571.26,13378.76,,-0.19025201072386058,73.0,1549.75,0.016365125822276626,173.0,138.0,50.47833333333333,6966.01,2939.67,,99.0,36.416666666666664,3605.25,45.0,237.0,
2023-07-16,,,0.0,11826.75,11826.75,,-0.07393704486727742,80.0,2007.5,0.014881518591328979,176.0,140.0,45.17142857142857,6324.0,2525.45,,139.0,39.58812949640288,5502.75,0.0,279.0,
2023-07-17,,,0.0,4008.25,4008.25,,-0.21483839373163566,38.0,1076.5,0.026195970810203955,105.0,50.0,52.74,2637.0,1956.07,,51.0,26.887254901960784,1371.25,0.0,101.0,
2023-07-18,,,0.0,11980.25,11980.25,,0.6787290688712955,44.0,1293.5,0.006510715552680453,78.0,63.0,46.78968253968254,2947.75,1850.11,,60.0,150.54166666666666,9032.5,0.0,123.0,
2023-07-19,,,0.0,5846.51,5846.51,,-0.20566960585845684,50.0,1581.01,0.04241846845382972,248.0,68.0,48.94117647058823,3328.0,2124.28,,70.0,35.97871428571429,2518.51,53.0,138.0,
2023-07-20,,,0.0,4989.0,4989.0,,-0.5395371374512564,26.0,653.0,0.023050711565443978,115.0,53.0,60.72641509433962,3218.5,2345.75,,46.0,38.48913043478261,1770.5,0.0,99.0,
2023-07-21,,,0.0,10164.25,10164.25,,-0.015974054263378272,66.0,1965.5,0.04879848488575153,496.0,124.0,52.49193548387097,6509.0,2679.22,,99.0,36.92171717171717,3655.25,164.0,223.0,
2023-07-22,,,0.0,12239.5,12239.5,,0.1589744172459409,75.0,2423.0,0.022141427345888313,271.0,145.0,61.060344827586206,8853.75,3001.46,,87.0,38.916666666666664,3385.75,0.0,232.0,
2023-07-23,,,0.0,7825.0,7825.0,,-0.25341093407117643,61.0,2315.5,0.02389776357827476,187.0,67.0,55.582089552238806,3724.0,2537.15,,126.0,32.54761904761905,4101.0,47.0,193.0,
2023-07-24,,,169.0,7378.5,7547.5,,0.131843638834731,49.0,3076.0,0.013281832350748797,98.0,74.0,54.00675675675676,3996.5,1795.58,,49.0,69.0204081632653,3382.0,0.0,123.0,
2023-07-25,,,114.0,4714.5,4828.5,,-0.3193286410395236,27.0,1008.5,0.010181355392936684,48.0,53.0,52.179245283018865,2765.5,1889.72,,52.0,37.48076923076923,1949.0,0.0,105.0,
2023-07-26,,,0.0,4858.25,4858.25,,-0.4996910560733227,53.0,1332.0,0.012350126074203674,60.0,61.0,43.17213114754098,2633.5,2046.37,,65.0,34.22692307692308,2224.75,0.0,126.0,
2023-07-27,,,0.0,4784.85,4784.85,,-0.4335612181479179,47.0,1435.85,0.016928430358318442,81.0,68.0,51.03455882352941,3470.35,2181.1,,46.0,28.57608695652174,1314.5,62.5,114.0,
2023-07-28,,,0.0,13451.0,13451.0,,0.08637887170375157,80.0,2438.0,0.002230317448516839,30.0,157.0,61.652866242038215,9679.5,2775.45,,108.0,34.9212962962963,3771.5,139.0,265.0,
2023-07-29,,,4838.0,13602.55,18440.55,,-0.08655731584149913,63.0,1736.25,0.0071310158756997775,97.0,162.0,61.33024691358025,9935.5,3113.12,,102.0,35.951470588235296,3667.05,0.0,264.0,
2023-07-30,,,0.0,10055.75,10055.75,,-0.015517536774604107,80.0,2919.25,0.012331253263058449,124.0,98.0,45.98979591836735,4507.0,2401.97,,136.0,40.799632352941174,5548.75,16.0,234.0,
2023-07-31,,,0.0,5570.25,5570.25,,0.2573218215676316,47.0,1183.0,0.012566760917373547,70.0,99.0,44.41919191919192,4397.5,1778.38,,36.0,32.576388888888886,1172.75,0.0,135.0,
2023-08-01,,,425.0,5659.0,6084.0,,0.06839301155050091,51.0,1375.75,0.017670966601873124,100.0,85.0,47.726470588235294,4056.75,1944.43,,56.0,28.611607142857142,1602.25,78.0,141.0,
2023-08-02,,,0.0,5732.0,5732.0,,-0.3386217440216921,49.0,1591.5,0.009595254710397768,55.0,76.0,46.76973684210526,3554.5,2025.3,,47.0,46.329787234042556,2177.5,0.0,123.0,
2023-08-03,,,0.0,9180.75,9180.75,,-0.00810307106393323,54.0,1239.0,0.014051139612776735,129.0,77.0,69.53896103896103,5354.5,2536.69,,78.0,49.05448717948718,3826.25,0.0,155.0,
2023-08-04,,,0.0,14475.5,14475.5,,0.26412540389485634,94.0,3330.25,0.011053158785534178,160.0,195.0,63.666666666666664,12415.0,2982.58,,61.0,33.778688524590166,2060.5,0.0,256.0,
2023-08-05,,,0.0,16216.6,16216.6,,-0.05159149060603843,71.0,2083.5,0.015724627850474206,255.0,216.0,60.3962962962963,13045.6,2978.28,,78.0,40.65384615384615,3171.0,13.5,294.0,
2023-08-06,,,0.0,12136.36,12136.36,,-0.03430210583690407,85.0,2599.0,0.015985023516111915,194.0,132.0,39.85795454545455,5261.25,2672.17,,170.0,40.441823529411764,6875.11,0.0,302.0,
2023-08-07,,,0.0,6420.51,6420.51,,0.26485595183685057,55.0,1386.5,0.02492013874287245,160.0,93.0,43.56720430107527,4051.75,1887.52,,70.0,33.83942857142858,2368.76,10.0,163.0,
2023-08-08,,,0.0,4388.5,4388.5,,1.5012824166429182,29.0,645.5,0.025065512133986556,110.0,51.0,48.372549019607845,2467.0,2022.01,,56.0,34.3125,1921.5,0.0,107.0,
2023-08-09,,,0.0,9604.970000000001,9604.970000000001,,0.096864704370914,62.0,1835.0,0.03217084488551239,309.0,116.0,53.26741379310345,6179.02,2149.62,,67.0,51.133582089552235,3425.95,0.0,183.0,
2023-08-10,,,0.0,12431.5,12431.5,,0.13998165978908758,73.0,2229.0,0.008446285645336444,105.0,189.0,55.66534391534392,10520.75,2410.66,,57.0,33.521929824561404,1910.75,8.0,246.0,
2023-08-11,,,370.0,15819.75,16189.75,,0.42504222497466504,87.0,2972.5,0.00455127293414877,72.0,187.0,69.81417112299465,13055.25,2837.75,,82.0,33.71341463414634,2764.5,0.0,269.0,
2023-08-12,,,2075.0,16549.25,18624.25,,0.14480146651909243,81.0,3130.5,0.005559164312582141,92.0,150.0,80.98833333333333,12148.25,3016.01,,107.0,41.13084112149533,4401.0,0.0,257.0,
2023-08-13,,,0.0,9148.5,9148.5,,-0.06255763910236704,59.0,2111.5,0.04197409411378915,384.0,70.0,57.875,4051.25,2434.85,,137.0,37.206204379562045,5097.25,0.0,207.0,
2023-08-14,,,0.0,4754.51,4754.51,,-0.31471461516287114,38.0,829.51,0.012198943739733431,58.0,69.0,40.724782608695655,2810.01,2144.79,,60.0,32.40833333333333,1944.5,10.0,129.0,
2023-08-15,,,0.0,12658.0,12658.0,,0.5718853807705442,5615.0,1828.25,0.0011850213303839468,15.0,70.0,146.0857142857143,10226.0,2278.13,,70.0,34.74285714285714,2432.0,0.0,140.0,
2023-08-16,,,0.0,8316.75,8316.75,,0.23083468995116177,34.0,806.25,0.01647278083385938,137.0,118.0,59.110169491525426,6975.0,2452.49,,44.0,30.494318181818183,1341.75,21.0,162.0,
2023-08-17,,,0.0,8258.5,8258.5,,0.06588797108931337,43.0,1218.0,0.016588968941090996,137.0,104.0,68.97596153846153,7173.5,2775.59,,31.0,35.0,1085.0,0.0,135.0,
2023-08-18,,,0.0,13924.0,13924.0,,0.30946503218646987,67.0,3085.5,0.007038207411663315,98.0,149.0,76.43288590604027,11388.5,3149.92,,63.0,40.24603174603175,2535.5,0.0,212.0,
2023-08-19,,,2847.5,17269.33,20116.83,,0.4751285555650467,70.0,1960.0,0.012160286473186857,210.0,202.0,63.67613861386138,12862.58,3673.61,,101.0,43.631188118811885,4406.75,0.0,303.0,
2023-08-20,,,0.0,12951.65,12951.65,,0.20226033278410802,70.0,2550.5,0.014901576247041883,193.0,122.0,52.85983606557377,6448.9,2808.84,,125.0,52.022,6502.75,0.0,247.0,
2023-08-21,,,0.0,5307.0,5307.0,,0.0853870538909909,50.0,1900.75,0.005652911249293386,30.0,47.0,50.255319148936174,2362.0,2171.07,,92.0,32.01086956521739,2945.0,0.0,139.0,
2023-08-22,,,0.0,6880.75,6880.75,,-0.5560161958994048,39.0,1360.5,0.007266649711150674,50.0,61.0,72.11475409836065,4399.0,2154.67,,60.0,41.3625,2481.75,3.5,121.0,
2023-08-23,,,0.0,7802.75,7802.75,,-0.0036074575405439916,50.0,1810.0,0.012175194642914357,95.0,75.0,64.67333333333333,4850.5,2340.61,,78.0,37.84935897435897,2952.25,0.0,153.0,
2023-08-24,,,0.0,9439.75,9439.75,,0.2880173013685547,60.0,1519.75,0.012924071082390954,122.0,107.0,63.02803738317757,6744.0,2934.92,,61.0,44.192622950819676,2695.75,0.0,168.0,
2023-08-25,,,0.0,13524.75,13524.75,,0.2574436929084443,72.0,2308.25,0.025878482042181926,350.0,147.0,68.77551020408163,10110.0,3249.09,,79.0,43.2246835443038,3414.75,0.0,226.0,
2023-08-26,,,5245.0,17325.5,22570.5,,0.29495687712503216,75.0,2670.0,0.01391013246370956,241.0,201.0,65.86442786069652,13238.75,3362.09,,104.0,39.29567307692308,4086.75,25.0,305.0,
2023-08-27,,,0.0,8089.35,8089.35,,-0.13389793307244688,76.0,2775.1,0.00605734700563086,49.0,88.0,41.37045454545454,3640.6,2487.73,,117.0,38.02350427350427,4448.75,0.0,205.0,
2023-08-28,,,0.0,3068.75,3068.75,,-0.4174181300427148,24.0,712.0,0.004887983706720978,15.0,33.0,50.63636363636363,1671.0,2018.6,,32.0,43.6796875,1397.75,0.0,65.0,
2023-08-29,,,0.0,602.0,602.0,,-0.9025968772753014,14.0,294.0,0.0,0.0,6.0,25.5,153.0,1014.75,,17.0,26.41176470588235,449.0,0.0,23.0,
2023-08-30,,,0.0,3415.75,3415.75,,-0.4490059281364681,31.0,952.25,0.01727292688282222,59.0,29.0,31.25862068965517,906.5,1387.17,,54.0,46.467592592592595,2509.25,0.0,83.0,
2023-08-31,,,0.0,9014.0,9014.0,,0.07588100140244085,41.0,1311.25,0.013201686265808742,119.0,80.0,89.784375,7182.75,2763.43,,44.0,41.61931818181818,1831.25,35.0,124.0,
2023-09-01,,,0.0,12945.0,12945.0,,-0.03151666958446119,49.0,1935.0,0.007261490923136346,94.0,123.0,83.02439024390245,10212.0,3149.76,,68.0,40.19117647058823,2733.0,0.0,191.0,
2023-09-02,,,0.0,22695.58,22695.58,,0.32314603964148,121.0,3848.8,0.014628399009851255,332.0,282.0,64.01624113475178,18052.58,3584.04,,127.0,36.55905511811024,4643.0,231.0,409.0,
2023-09-03,,,0.0,15873.75,15873.75,,-0.08901132010502302,84.0,2612.5,0.011024490117332074,175.0,154.0,60.20454545454545,9271.5,3348.87,,164.0,40.25762195121951,6602.25,0.0,318.0,
2023-09-04,,,0.0,7872.849999999999,7872.849999999999,,-0.3386382728494624,73.0,2267.6,0.019941952406053717,157.0,67.0,51.099999999999994,3423.7,2190.66,,116.0,38.35474137931034,4449.15,0.0,183.0,
2023-09-05,,,0.0,8238.75,8238.75,,0.8820673900628212,33.0,3383.5,0.012137763617053559,100.0,54.0,107.36111111111111,5797.5,1994.42,,68.0,35.900735294117645,2441.25,0.0,122.0,
2023-09-06,,,0.0,7734.5,7734.5,,0.6316512280894206,37.0,934.0,0.009955394660288318,77.0,88.0,77.95170454545455,6859.75,2062.54,,28.0,31.241071428571427,874.75,0.0,116.0,
2023-09-07,,,0.0,7570.0,7570.0,,-0.05487823910207192,41.0,1530.5,0.019682959048877145,149.0,75.0,77.4,5805.0,2394.06,,46.0,38.369565217391305,1765.0,0.0,121.0,
2023-09-08,,,0.0,16567.6,16567.6,,0.597454501627094,78.0,2224.75,0.015753639633984403,261.0,198.0,68.23106060606061,13509.75,3386.78,,80.0,38.223124999999996,3057.85,90.1,278.0,
2023-09-09,,,2075.0,17537.0,19612.0,,-0.032670869807438746,67.0,2208.25,0.010035924046302104,176.0,132.0,112.22916666666667,14814.25,3191.56,,77.0,35.36038961038961,2722.75,0.0,209.0,
2023-09-10,,,0.0,8607.0,8607.0,,-0.1595342138027,65.0,2099.25,0.008946206576042755,77.0,91.0,48.84065934065934,4444.5,2548.31,,97.0,42.91237113402062,4162.5,23.0,188.0,
