date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-06-06,,"Early dinner pop at 4 pm, rain on and off all evening",,,,,,,,,,,,,,,,,,,,
2023-06-07,,"Soft Lunch and Dinner, doubled our covers this evening.",,,,,,,,,,,,,,,,,,,,
2023-06-08,"Full table for 2 guests, 203 due to bar error ","Full Bar HH by 3:30pm thru 8pm, Music on 5th tonight helped bring in some walk-ins",,,,,,,,,,,,,,,,,,,,
2023-06-09,,"Bar very quiet during HH, till close ….....Slowest. Steady dinner flow with full patio all night",,,,,,,,,,,,,,,,,,,,
2023-06-10,,"Bar busy all day, steady lunch, Soft dinner",,,,,,,,,,,,,,,,,,,,
2023-06-11,,2nd Sunday with no jazz brunch. We still had them last year.  Push at 2pm along with a 12 top walkin,,,,,,,,,,,,,,,,,,,,
2023-06-12,,"Quiet day overall, extremely hot",,,,,,,,,,,,,,,,,,,,
2023-06-13,,12 top Trade Wine Lunch and 26 top Wine Dinner w/ Marcello. Lunch PPA without bar counts was $51 due to luncheon. ,,,,,,,,,,,,,,,,,,,,
2023-06-14,,"Soft Lunch, Dinner pop at 7pm Double our covers in walkins this evening. Heat advisory. ",,,,,,,,,,,,,,,,,,,,
2023-06-15,,"Lunch on par with previous days, Dinner again coming in with a pop around 7 pm. great amount of walkins. Heat advisory. ",,,,,,,,,,,,,,,,,,,,
2023-06-16,,Steady lunch and dinner. Last minute late walk-ins.  Heat advisory. ,,,,,,,,,,,,,,,,,,,,
2023-06-17,,Double Booking for catering. Great lunch. 5top had $800 tab ($160PPA for that table). $49.55 PPA for lunch without bar covers/sales.   Heat advisory. ,,,,,,,,,,,,,,,,,,,,
2023-06-18,,"FATHER'S DAY VERY RAINY  Bar full at 4pm, Steady walk in phase during the evening. ",,,,,,,,,,,,,,,,,,,,
2023-06-19,,Late Dinner pop about 8pm,,,,,,,,,,,,,,,,,,,,
2023-06-20,,Soft Lunch. Dinners covers were moslty walk ins!,,,,,,,,,,,,,,,,,,,,
2023-06-21,,Up against PY wine dinner @ $150++ a head and an almost $4k PY lunch. ,,,,,,,,,,,,,,,,,,,,
